Exam1,Exam2,Exam3,Total Marks,Percentage
240,232,232,704,93.87
221,163,169,553,73.73
244,236,239,719,95.87
196,160,154,510,68
234,196,180,610,81.33
224,206,191,621,82.8
225,198,203,626,83.47
230,228,220,678,90.4
190,146,164,500,66.67
242,242,242,726,96.8
221,174,186,581,77.47
214,207,212,633,84.4
190,169,148,507,67.6
236,204,209,649,86.53
212,172,182,566,75.47
225,214,200,639,85.2
207,236,239,682,90.93
181,157,144,482,64.27
211,208,205,624,83.2
212,200,166,578,77.07
162,167,145,474,63.2
237,237,237,711,94.8
244,235,230,709,94.53
188,160,152,500,66.67
203,186,164,553,73.73
181,176,154,511,68.13
243,234,240,717,95.6
232,225,220,677,90.27
241,232,231,704,93.87
150,146,137,433,57.73
236,203,192,631,84.13
161,127,125,413,55.07
240,230,0,470,62.67
205,193,163,561,74.8
222,214,233,669,89.2
203,190,191,584,77.87
212,206,210,628,83.73
210,191,182,583,77.73
238,234,234,706,94.13
223,205,213,641,85.47
238,198,200,636,84.8
228,222,214,664,88.53
167,120,133,420,56
238,231,231,700,93.33
219,180,156,555,74
