Date,Day,Category,Expenditure,Cost
03-07-2017,Monday,Rent,Hostel,7500
03-07-2017,Monday,Travel,Auto,10
03-07-2017,Monday,Food,Chocolate,10
03-07-2017,Monday,Food,Lunch,45
04-07-2017,Tuesday,Food,Snacks,15
04-07-2017,Tuesday,Drinks,Tea,20
04-07-2017,Tuesday,Food,Dinner,50
04-07-2017,Tuesday,Food,Ice Cream,20
05-07-2017,Wednesday,Food,Snacks,46
05-07-2017,Wednesday,Travel,Auto,50
05-07-2017,Wednesday,Food,Dinner,83
05-07-2017,Wednesday,Food,Snacks,50
06-07-2017,Thursday,Travel,Auto,10
06-07-2017,Thursday,Food,Lunch,205
06-07-2017,Thursday,Drinks,Juice,50
07-07-2017,Friday,Food,Lunch,215
07-07-2017,Friday,Travel,Bike,50
07-07-2017,Friday,Travel,Auto,20
07-07-2017,Friday,Travel,Train,15
07-07-2017,Friday,Travel,Auto,10
08-07-2017,Saturday,Food,Fruits,397
10-07-2017,Monday,Drinks,Tea,40
10-07-2017,Monday,Drinks,Juice,50
10-07-2017,Monday,Food,Snacks,70
10-07-2017,Monday,Basics,Mobile,28300
12-07-2017,Wednesday,Travel,Auto,10
13-07-2017,Thursday,Food,Dinner,125
14-07-2017,Friday,Travel,Auto,10
14-07-2017,Friday,Food,Snacks,10
14-07-2017,Friday,Rent,Airtel Bill,818
15-07-2017,Saturday,Travel,Auto,40
15-07-2017,Saturday,Food,Lunch,150
15-07-2017,Saturday,Food,Dinner,150
16-07-2017,Sunday,Basics,Amneties,920
17-07-2017,Monday,Food,Snacks,10
17-07-2017,Monday,Food,Dinner,40
20-07-2017,Thursday,Food,Snacks,10
20-07-2017,Thursday,Drinks,Juice,28
21-07-2017,Friday,Travel,Auto,10
21-07-2017,Friday,Basics,Amneties,175
22-07-2017,Saturday,Travel,Bike,25
22-07-2017,Saturday,Food,Fruits,130
23-07-2017,Sunday,Food,Bread,35
23-07-2017,Sunday,Food,Dinner,110
24-07-2017,Monday,Travel,Auto,10
25-07-2017,Tuesday,Food,Snacks,20
25-07-2017,Tuesday,Drinks,Juice,18
27-07-2017,Thursday,Food,Dinner,110
28-07-2017,Friday,Travel,Auto,10
28-07-2017,Friday,Food,Snacks,10
29-07-2017,Saturday,Food,Fruits,250
30-07-2017,Sunday,Drinks,Tea,10
31-07-2017,Monday,Travel,Auto,10
31-07-2017,Monday,Food,Roll,70
