,Open,High,Low,Close,Volume,Symbol
2021-04-01,238.47,242.84,238.0501,242.35,30337982.0,MSFT
2021-03-31,232.91,239.1,232.39,235.77,43623471.0,MSFT
2021-03-30,233.525,233.85,231.1,231.85,24792012.0,MSFT
2021-03-29,236.59,236.8,231.88,235.24,25227455.0,MSFT
2021-03-26,231.55,236.71,231.55,236.48,25479853.0,MSFT
2021-03-25,235.3,236.94,231.57,232.34,34061853.0,MSFT
2021-03-24,237.845,238.0,235.32,235.46,25620127.0,MSFT
2021-03-23,237.485,241.05,237.07,237.58,31638376.0,MSFT
2021-03-22,230.27,236.9,230.14,235.99,30127005.0,MSFT
2021-03-19,231.02,232.474,229.3496,230.35,46430730.0,MSFT
2021-03-18,232.56,234.19,230.33,230.72,34852251.0,MSFT
2021-03-17,236.15,238.55,233.23,237.04,29562100.0,MSFT
2021-03-16,236.28,240.055,235.94,237.71,28092196.0,MSFT
2021-03-15,234.96,235.185,231.81,234.81,26042669.0,MSFT
2021-04-01,123.66,124.18,122.49,123.0,75089134.0,AAPL
2021-03-31,121.65,123.52,121.15,122.15,118323826.0,AAPL
2021-03-30,120.11,120.4031,118.86,119.9,85671919.0,AAPL
2021-03-29,121.65,122.58,120.7299,121.39,80819203.0,AAPL
2021-03-26,120.35,121.48,118.92,121.21,94071234.0,AAPL
2021-03-25,119.54,121.66,119.0,120.59,98844681.0,AAPL
2021-03-24,122.82,122.9,120.065,120.09,88530485.0,AAPL
2021-03-23,123.33,124.24,122.14,122.54,95467142.0,AAPL
2021-03-22,120.33,123.87,120.26,123.39,111912284.0,AAPL
2021-03-19,119.9,121.43,119.675,119.99,185549522.0,AAPL
2021-03-18,122.88,123.18,120.32,120.53,121469755.0,AAPL
2021-03-17,124.05,125.8599,122.336,124.76,111932636.0,AAPL
2021-03-16,125.7,127.22,124.715,125.57,115227936.0,AAPL
2021-03-15,121.41,124.0,120.42,123.99,92590555.0,AAPL
2021-04-01,2097.95,2142.94,2096.89,2137.75,1698978.0,GOOG
2021-03-31,2059.12,2093.3273,2056.745,2068.63,1459930.0,GOOG
2021-03-30,2057.63,2070.78,2044.03,2055.54,1036774.0,GOOG
2021-03-29,2027.88,2058.43,2015.62,2055.95,1229777.0,GOOG
2021-03-26,2038.86,2050.99,2014.0201,2035.55,1493800.0,GOOG
2021-03-25,2044.81,2058.87,2010.73,2044.36,1418907.0,GOOG
2021-03-24,2065.37,2078.21,2041.555,2045.06,1154029.0,GOOG
2021-03-23,2051.7,2072.3025,2039.22,2052.96,1366997.0,GOOG
2021-03-22,2041.84,2057.99,2026.07,2038.59,1954816.0,GOOG
2021-03-19,2042.05,2053.1,2017.68,2043.2,2314893.0,GOOG
2021-03-18,2061.0,2075.5,2033.55,2036.22,1362430.0,GOOG
2021-03-17,2076.03,2109.78,2054.0,2091.08,1299016.0,GOOG
2021-03-16,2078.99,2123.56,2070.0,2092.52,1491564.0,GOOG
2021-03-15,2062.3,2067.06,2043.51,2066.49,1298325.0,GOOG
2021-04-01,3117.94,3162.44,3115.55,3161.0,2940318.0,AMZN
2021-03-31,3064.06,3119.33,3062.5,3094.08,3093896.0,AMZN
2021-03-30,3070.01,3073.0,3034.0,3055.29,2337603.0,AMZN
2021-03-29,3055.4394,3091.25,3028.445,3075.73,2745968.0,AMZN
2021-03-26,3044.06,3056.66,2996.0,3052.03,3312924.0,AMZN
2021-03-25,3072.99,3109.78,3037.14,3046.26,3563469.0,AMZN
2021-03-24,3151.04,3160.31,3085.15,3087.07,2958981.0,AMZN
2021-03-23,3127.0,3182.0,3120.8501,3137.5,3817263.0,AMZN
2021-03-22,3067.85,3126.58,3060.05,3110.87,2902179.0,AMZN
2021-03-19,3029.23,3077.285,3016.63,3074.96,4625354.0,AMZN
2021-03-18,3101.0,3116.63,3025.0,3027.99,3657027.0,AMZN
2021-03-17,3073.22,3173.05,3070.22,3135.73,3118584.0,AMZN
2021-03-16,3104.97,3128.91,3075.8601,3091.86,2538764.0,AMZN
2021-03-15,3074.57,3082.24,3032.09,3081.68,2918592.0,AMZN
2021-04-01,542.89,554.8,540.45,552.47,7706865.0,NVDA
2021-03-31,520.62,538.82,519.3,533.93,7869438.0,NVDA
2021-03-30,513.678,519.01,508.2,514.87,5005062.0,NVDA
2021-03-29,512.81,522.5,508.0,517.93,6837997.0,NVDA
2021-03-26,502.18,514.25,494.94,513.57,9099224.0,NVDA
2021-03-25,499.98,508.59,490.88,501.41,7378614.0,NVDA
2021-03-24,526.05,526.365,505.47,505.72,6145963.0,NVDA
2021-03-23,530.17,533.78,520.85,522.83,5551152.0,NVDA
2021-03-22,516.51,535.78,516.27,527.45,7445077.0,NVDA
2021-03-19,510.0,516.86,504.5,513.83,7480174.0,NVDA
2021-03-18,525.46,527.36,508.6817,508.9,7354702.0,NVDA
2021-03-17,521.59,538.13,519.58,533.65,6096605.0,NVDA
2021-03-16,534.26,540.5,524.67,531.65,6803240.0,NVDA
2021-03-15,514.59,528.27,510.685,527.65,5563011.0,NVDA
